"","plotID","ID","typeSample","typeCode","timeSample","DiseaseStatus","manager.x","variety.x","DNA_Location","DNA_Plate","DNA_Row","DNA_Col","site","manager.y","managerPlotName","FHBresistance","block","variety.y","lat","long","harvestWeight.lbs","moistPerc","testWeight.lbsPerBu","yield.lbsPerAcre","harvestLength","FHBSeverity","FgTa.Mean","FgTa.SD","FgTa.CV","DON.Mean.R1","DON.CV.R1","DON.Mean.R2","DON.CV.R2"
"H19-T3","19","H19-T3","head","H","T3","","Talon","505","P3-G6","P3","G","6","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"H19-T5-LO","19","H19-T5-LO","head","H","T5","Lo","Talon","505","P1-D8","P1","D","8","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"D20-T1","20","D20-T1","debris","D","T1","","Talon","495","P2-F7","P2","F","7","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"L20-T1","20","L20-T1","leaf","L","T1","","Talon","495","P1-C5","P1","C","5","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"D20-T2","20","D20-T2","debris","D","T2","","Talon","495","P2-G3","P2","G","3","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"L20-T2","20","L20-T2","leaf","L","T2","","Talon","495","P3-A4","P3","A","4","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"H20-T4","20","H20-T4","head","H","T4","","Talon","495","P2-B8","P2","B","8","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"H20-T3","20","H20-T3","head","H","T3","","Talon","495","P1-E6","P1","E","6","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"L20-T3","20","L20-T3","leaf","L","T3","","Talon","495","P2-A7","P2","A","7","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"H20-T5-HI","20","H20-T5-HI","head","H","T5","Hi","Talon","495","P2-D5","P2","D","5","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"L20-T4","20","L20-T4","leaf","L","T4","","Talon","495","P3-C6","P3","C","6","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"H20-T5-LO","20","H20-T5-LO","head","H","T5","Lo","Talon","495","P3-D4","P3","D","4","Ewing","Talon","302","8","3","AgriMaxx-495",38.096467,-88.845217,178,12.5,58.7,75.12756627,87,54.1375,0.487,0.131,26.807,1.901601105,10.83073154,1.550836675,6.290479808
"L21-T1","21","L21-T1","leaf","L","T1","","Talon","492","P3-C2","P3","C","2","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"L21-T2","21","L21-T2","leaf","L","T2","","Talon","492","P2-F11","P2","F","11","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"H21-T4","21","H21-T4","head","H","T4","","Talon","492","P3-F1","P3","F","1","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"D21-T2","21","D21-T2","debris","D","T2","","Talon","492","P3-A5","P3","A","5","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"D21-T1","21","D21-T1","debris","D","T1","","Talon","492","P3-C5","P3","C","5","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"H21-T5-HI","21","H21-T5-HI","head","H","T5","Hi","Talon","492","P1-E8","P1","E","8","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"H21-T3","21","H21-T3","head","H","T3","","Talon","492","P1-G3","P1","G","3","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"L21-T4","21","L21-T4","leaf","L","T4","","Talon","492","P2-H6","P2","H","6","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"L21-T3","21","L21-T3","leaf","L","T3","","Talon","492","P3-E6","P3","E","6","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"H21-T5-LO","21","H21-T5-LO","head","H","T5","Lo","Talon","492","P1-E4","P1","E","4","Ewing","Talon","303","5","3","AgriMaxx-492",38.096467,-88.84515,172,13.9,52.4,71.43365358,87,50.15,0.804,0.305,37.88,3.207684961,73.01907878,2.226455306,9.173438332
"L22-T1","22","L22-T1","leaf","L","T1","","Talon","495","P1-E11","P1","E","11","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"H22-T4","22","H22-T4","head","H","T4","","Talon","495","P1-A4","P1","A","4","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"L22-T2","22","L22-T2","leaf","L","T2","","Talon","495","P2-D4","P2","D","4","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"H22-T5-HI","22","H22-T5-HI","head","H","T5","Hi","Talon","495","P1-A3","P1","A","3","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"D22-T2","22","D22-T2","debris","D","T2","","Talon","495","P2-F1","P2","F","1","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"D22-T1","22","D22-T1","debris","D","T1","","Talon","495","P3-C1","P3","C","1","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"L22-T3","22","L22-T3","leaf","L","T3","","Talon","495","P3-G5","P3","G","5","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"H22-T3","22","H22-T3","head","H","T3","","Talon","495","P3-B4","P3","B","4","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"L22-T4","22","L22-T4","leaf","L","T4","","Talon","495","P1-E9","P1","E","9","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"H22-T5-LO","22","H22-T5-LO","head","H","T5","Lo","Talon","495","P1-B2","P1","B","2","Ewing","Talon","401","8","4","AgriMaxx-495",38.096467,-88.845083,186,13.8,54.4,77.33773969,87,63.8375,0.376,0.137,36.458,2.783528803,1.588859161,2.14551022,7.907905426
"L23-T1","23","L23-T1","leaf","L","T1","","Talon","505","P2-C9","P2","C","9","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"L23-T2","23","L23-T2","leaf","L","T2","","Talon","505","P2-A1","P2","A","1","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"D23-T2","23","D23-T2","debris","D","T2","","Talon","505","P1-C11","P1","C","11","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"D23-T1","23","D23-T1","debris","D","T1","","Talon","505","P1-B6","P1","B","6","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"H23-T4","23","H23-T4","head","H","T4","","Talon","505","P2-A2","P2","A","2","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"H23-T3","23","H23-T3","head","H","T3","","Talon","505","P3-A1","P3","A","1","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"L23-T4","23","L23-T4","leaf","L","T4","","Talon","505","P1-G10","P1","G","10","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"H23-T5-HI","23","H23-T5-HI","head","H","T5","Hi","Talon","505","P1-C1","P1","C","1","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"H23-T5-LO","23","H23-T5-LO","head","H","T5","Lo","Talon","505","P2-G12","P2","G","12","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"L23-T3","23","L23-T3","leaf","L","T3","","Talon","505","P2-B5","P2","B","5","Ewing","Talon","402","9","4","AgriMaxx-505",38.09645,-88.845017,172,13.7,52.7,71.59958541,87,50.075,0.146,0.075,51.213,0.137264947,173.2050808,0.251962831,223.6067977
"H24-T5-HI","24","H24-T5-HI","head","H","T5","Hi","Talon","492","P1-D6","P1","D","6","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"L24-T2","24","L24-T2","leaf","L","T2","","Talon","492","P1-D4","P1","D","4","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"D24-T2","24","D24-T2","debris","D","T2","","Talon","492","P1-B7","P1","B","7","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"H24-T4","24","H24-T4","head","H","T4","","Talon","492","P2-C5","P2","C","5","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"H24-T3","24","H24-T3","head","H","T3","","Talon","492","P2-G9","P2","G","9","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"L24-T4","24","L24-T4","leaf","L","T4","","Talon","492","P1-F9","P1","F","9","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"L24-T3","24","L24-T3","leaf","L","T3","","Talon","492","P1-F6","P1","F","6","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"D24-T1","24","D24-T1","debris","D","T1","","Talon","492","P1-G7","P1","G","7","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"L24-T1","24","L24-T1","leaf","L","T1","","Talon","492","P1-B1","P1","B","1","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"H24-T5-LO","24","H24-T5-LO","head","H","T5","Lo","Talon","492","P2-F3","P2","F","3","Ewing","Talon","403","5","4","AgriMaxx-492",38.096467,-88.84495,172,14.1,52.4,71.26772175,87,60.625,0.351,0.174,49.582,2.449112251,23.12179949,1.78789801,8.179415739
"PCR1-Blk-A",NA,"PCR1-Blk-A","negative","","","","",NA,"P1-F3","P1","F","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCR1-Blk-C",NA,"PCR1-Blk-C","negative","","","","",NA,"P3-G2","P3","G","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCR2-Blank",NA,"PCR2-Blank","negative","","","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
