"","plotID","ID","typeSample","typeCode","timeSample","DiseaseStatus","manager.x","variety.x","DNA_Location","DNA_Plate","DNA_Row","DNA_Col","site","manager.y","managerPlotName","FHBresistance","block","variety.y","lat","long","harvestWeight.lbs","moistPerc","testWeight.lbsPerBu","yield.lbsPerAcre","harvestLength","FHBSeverity","FgTa.Mean","FgTa.SD","FgTa.CV","DON.Mean.R1","DON.CV.R1","DON.Mean.R2","DON.CV.R2"
"D04-T2","04","D04-T2","debris","D","T2","","Allen","492","P2-C12","P2","C","12","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"D04-T1","04","D04-T1","debris","D","T1","","Allen","492","P3-D6","P3","D","6","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"L04-T3","04","L04-T3","leaf","L","T3","","Allen","492","P1-A7","P1","A","7","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"L04-T2","04","L04-T2","leaf","L","T2","","Allen","492","P2-D3","P2","D","3","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"H04-T5-LO","04","H04-T5-LO","head","H","T5","Lo","Allen","492","P3-A2","P3","A","2","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"L04-T4","04","L04-T4","leaf","L","T4","","Allen","492","P3-F4","P3","F","4","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"H04-T4","04","H04-T4","head","H","T4","","Allen","492","P1-G12","P1","G","12","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"H04-T5-HI","04","H04-T5-HI","head","H","T5","Hi","Allen","492","P2-H1","P2","H","1","Urbana","Allen",NA,"5","2","AgriMaxx-492",40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786
"D05-T2","05","D05-T2","debris","D","T2","","Allen","495","P2-E11","P2","E","11","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"D05-T1","05","D05-T1","debris","D","T1","","Allen","495","P2-F12","P2","F","12","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"L05-T1","05","L05-T1","leaf","L","T1","","Allen","495","P2-D10","P2","D","10","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"H05-T3","05","H05-T3","head","H","T3","","Allen","495","P1-H7","P1","H","7","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"L05-T4","05","L05-T4","leaf","L","T4","","Allen","495","P2-B6","P2","B","6","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"L05-T2","05","L05-T2","leaf","L","T2","","Allen","495","P1-F4","P1","F","4","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
"H05-T4","05","H05-T4","head","H","T4","","Allen","495","P1-C10","P1","C","10","Urbana","Allen",NA,"8","2","AgriMaxx-495",40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325
