ID,typeSample,typeCode,plotID,timeSample,DiseaseStatus,manager,variety,QuantIt_ngperuL,uLSample_normalize,uLWater_normalize,DNA_Location,DNA_Plate,DNA_Row,DNA_Col
L13-T2,leaf,L,P_13,T2,,Talon,492,31.15,10,21.15,P1-B10,P1,B,10
L14-T2,leaf,L,P_14,T2,,Talon,495,31.36,10,21.36,P3-B6,P3,B,6
L15-T2,leaf,L,P_15,T2,,Talon,505,43.84,10,33.84,P2-A12,P2,A,12
L16-T2,leaf,L,P_16,T2,,Talon,495,42.15,10,32.15,P2-A6,P2,A,6
L17-T2,leaf,L,P_17,T2,,Talon,492,29.38,10,19.38,P1-H10,P1,H,10
L18-T2,leaf,L,P_18,T2,,Talon,505,42.87,10,32.87,P2-A5,P2,A,5
L19-T2,leaf,L,P_19,T2,,Talon,505,33.8,10,23.8,P2-F8,P2,F,8
L20-T2,leaf,L,P_20,T2,,Talon,495,30.88,10,20.88,P3-A4,P3,A,4
L21-T2,leaf,L,P_21,T2,,Talon,492,21.47,10,11.47,P2-F11,P2,F,11
L22-T2,leaf,L,P_22,T2,,Talon,495,33.28,10,23.28,P2-D4,P2,D,4
L23-T2,leaf,L,P_23,T2,,Talon,505,35.31,10,25.31,P2-A1,P2,A,1
L24-T2,leaf,L,P_24,T2,,Talon,492,37.02,10,27.02,P1-D4,P1,D,4
H01-T3,head,H,P_01,T3,,Allen,495,60.94,10,50.94,P1-C12,P1,C,12
H02-T3,head,H,P_02,T3,,Allen,492,44.69,10,34.69,P2-D2,P2,D,2
H03-T3,head,H,P_03,T3,,Allen,505,52.4,10,42.4,P1-E5,P1,E,5
H04-T3,head,H,P_04,T3,,Allen,492,50.39,10,40.39,P1-G4,P1,G,4
H05-T3,head,H,P_05,T3,,Allen,495,55.93,10,45.93,P1-H7,P1,H,7
H06-T3,head,H,P_06,T3,,Allen,505,50.06,10,40.06,P2-F2,P2,F,2
H07-T3,head,H,P_07,T3,,Allen,505,61.59,10,51.59,P1-E2,P1,E,2
H08-T3,head,H,P_08,T3,,Allen,492,54.73,10,44.73,P2-C11,P2,C,11
H09-T3,head,H,P_09,T3,,Allen,495,53.6,10,43.6,P1-H5,P1,H,5
H10-T3,head,H,P_10,T3,,Allen,495,52.11,10,42.11,P1-G8,P1,G,8
H11-T3,head,H,P_11,T3,,Allen,505,52.66,10,42.66,P2-E7,P2,E,7
H12-T3,head,H,P_12,T3,,Allen,492,58.11,10,48.11,P1-G9,P1,G,9
H13-T3,head,H,P_13,T3,,Talon,492,52.39,10,42.39,P2-E3,P2,E,3
H14-T3,head,H,P_14,T3,,Talon,495,37.41,10,27.41,P3-H3,P3,H,3
H15-T3,head,H,P_15,T3,,Talon,505,51.29,10,41.29,P2-H10,P2,H,10
H16-T3,head,H,P_16,T3,,Talon,495,57.39,10,47.39,P3-A6,P3,A,6
H17-T3,head,H,P_17,T3,,Talon,492,55.94,10,45.94,P2-C10,P2,C,10
H18-T3,head,H,P_18,T3,,Talon,505,41.42,10,31.42,P3-E3,P3,E,3
H19-T3,head,H,P_19,T3,,Talon,505,43.54,10,33.54,P3-G6,P3,G,6
H20-T3,head,H,P_20,T3,,Talon,495,55.49,10,45.49,P1-E6,P1,E,6
H21-T3,head,H,P_21,T3,,Talon,492,63.01,10,53.01,P1-G3,P1,G,3
H22-T3,head,H,P_22,T3,,Talon,495,38.76,10,28.76,P3-B4,P3,B,4
H23-T3,head,H,P_23,T3,,Talon,505,41.56,10,31.56,P3-A1,P3,A,1
H24-T3,head,H,P_24,T3,,Talon,492,56.41,10,46.41,P2-G9,P2,G,9
L01-T3,leaf,L,P_01,T3,,Allen,495,40.23,10,30.23,P1-E7,P1,E,7
L02-T3,leaf,L,P_02,T3,,Allen,492,38.86,10,28.86,P2-G6,P2,G,6
L03-T3,leaf,L,P_03,T3,,Allen,505,38.35,10,28.35,P1-D9,P1,D,9
L04-T3,leaf,L,P_04,T3,,Allen,492,43.71,10,33.71,P1-A7,P1,A,7
L05-T3,leaf,L,P_05,T3,,Allen,495,29.97,10,19.97,P1-D2,P1,D,2
L06-T3,leaf,L,P_06,T3,,Allen,505,32.11,10,22.11,P3-G3,P3,G,3
L07-T3,leaf,L,P_07,T3,,Allen,505,33.36,10,23.36,P1-A6,P1,A,6
L08-T3,leaf,L,P_08,T3,,Allen,492,34.33,10,24.33,P3-B3,P3,B,3
L09-T3,leaf,L,P_09,T3,,Allen,495,29.64,10,19.64,P3-C3,P3,C,3
L10-T3,leaf,L,P_10,T3,,Allen,495,27.83,10,17.83,P1-H6,P1,H,6
L11-T3,leaf,L,P_11,T3,,Allen,505,29.54,10,19.54,P2-C6,P2,C,6
L12-T3,leaf,L,P_12,T3,,Allen,492,26.63,10,16.63,P2-A3,P2,A,3
L13-T3,leaf,L,P_13,T3,,Talon,492,29.53,10,19.53,P2-G8,P2,G,8
L14-T3,leaf,L,P_14,T3,,Talon,495,35.38,10,25.38,P1-F10,P1,F,10
L15-T3,leaf,L,P_15,T3,,Talon,505,45.78,10,35.78,P1-E1,P1,E,1
L16-T3,leaf,L,P_16,T3,,Talon,495,25.75,10,15.75,P1-F8,P1,F,8
L17-T3,leaf,L,P_17,T3,,Talon,492,33.49,10,23.49,P1-G6,P1,G,6
L18-T3,leaf,L,P_18,T3,,Talon,505,46.67,10,36.67,P2-A8,P2,A,8
L19-T3,leaf,L,P_19,T3,,Talon,505,46.16,10,36.16,P1-F2,P1,F,2
L20-T3,leaf,L,P_20,T3,,Talon,495,41.7,10,31.7,P2-A7,P2,A,7
L21-T3,leaf,L,P_21,T3,,Talon,492,45.36,10,35.36,P3-E6,P3,E,6
L22-T3,leaf,L,P_22,T3,,Talon,495,38.87,10,28.87,P3-G5,P3,G,5
L23-T3,leaf,L,P_23,T3,,Talon,505,35.68,10,25.68,P2-B5,P2,B,5
L24-T3,leaf,L,P_24,T3,,Talon,492,41.58,10,31.58,P1-F6,P1,F,6
H01-T4,head,H,P_01,T4,,Allen,495,42.77,10,32.77,P2-H12,P2,H,12
H02-T4,head,H,P_02,T4,,Allen,492,45.96,10,35.96,P1-H9,P1,H,9
H03-T4,head,H,P_03,T4,,Allen,505,41.19,10,31.19,P1-B5,P1,B,5
H04-T4,head,H,P_04,T4,,Allen,492,47.56,10,37.56,P1-G12,P1,G,12
H05-T4,head,H,P_05,T4,,Allen,495,47.7,10,37.7,P1-C10,P1,C,10
H06-T4,head,H,P_06,T4,,Allen,505,40.46,10,30.46,P2-E10,P2,E,10
H07-T4,head,H,P_07,T4,,Allen,505,3.2,As Is,0,P1-B11,P1,B,11
H08-T4,head,H,P_08,T4,,Allen,492,36.39,10,26.39,P3-B1,P3,B,1
H09-T4,head,H,P_09,T4,,Allen,495,45.15,10,35.15,P3-B2,P3,B,2
H10-T4,head,H,P_10,T4,,Allen,495,41.48,10,31.48,P3-E2,P3,E,2
H11-T4,head,H,P_11,T4,,Allen,505,48.82,10,38.82,P2-C2,P2,C,2
H12-T4,head,H,P_12,T4,,Allen,492,41.96,10,31.96,P2-G2,P2,G,2
H13-T4,head,H,P_13,T4,,Talon,492,42.49,10,32.49,P1-F1,P1,F,1
H14-T4,head,H,P_14,T4,,Talon,495,53.41,10,43.41,P1-D7,P1,D,7
H15-T4,head,H,P_15,T4,,Talon,505,58.19,10,48.19,P1-G1,P1,G,1
H16-T4,head,H,P_16,T4,,Talon,495,60.79,10,50.79,P1-C9,P1,C,9
H17-T4,head,H,P_17,T4,,Talon,492,48.87,10,38.87,P1-C8,P1,C,8
H18-T4,head,H,P_18,T4,,Talon,505,56.57,10,46.57,P2-H9,P2,H,9
H19-T4,head,H,P_19,T4,,Talon,505,40.69,10,30.69,P1-B8,P1,B,8
H20-T4,head,H,P_20,T4,,Talon,495,46.22,10,36.22,P2-B8,P2,B,8
H21-T4,head,H,P_21,T4,,Talon,492,49.81,10,39.81,P3-F1,P3,F,1
H22-T4,head,H,P_22,T4,,Talon,495,54.43,10,44.43,P1-A4,P1,A,4
H23-T4,head,H,P_23,T4,,Talon,505,35.47,10,25.47,P2-A2,P2,A,2
H24-T4,head,H,P_24,T4,,Talon,492,49.69,10,39.69,P2-C5,P2,C,5
L01-T4,leaf,L,P_01,T4,,Allen,495,38.45,10,28.45,P1-C4,P1,C,4
L02-T4,leaf,L,P_02,T4,,Allen,492,45.11,10,35.11,P1-G5,P1,G,5
L03-T4,leaf,L,P_03,T4,,Allen,505,40.35,10,30.35,P3-G4,P3,G,4
L04-T4,leaf,L,P_04,T4,,Allen,492,42.85,10,32.85,P3-F4,P3,F,4
L05-T4,leaf,L,P_05,T4,,Allen,495,38.21,10,28.21,P2-B6,P2,B,6
L06-T4,leaf,L,P_06,T4,,Allen,505,55.03,10,45.03,P1-A9,P1,A,9
L07-T4,leaf,L,P_07,T4,,Allen,505,46.54,10,36.54,P1-F7,P1,F,7
L08-T4,leaf,L,P_08,T4,,Allen,492,50.21,10,40.21,P1-F5,P1,F,5
L09-T4,leaf,L,P_09,T4,,Allen,495,42.32,10,32.32,P2-C3,P2,C,3
L10-T4,leaf,L,P_10,T4,,Allen,495,54.17,10,44.17,P2-E12,P2,E,12
L11-T4,leaf,L,P_11,T4,,Allen,505,55.93,10,45.93,P1-C7,P1,C,7
L12-T4,leaf,L,P_12,T4,,Allen,492,40.65,10,30.65,P3-E5,P3,E,5
L13-T4,leaf,L,P_13,T4,,Talon,492,41.94,10,31.94,P2-F5,P2,F,5
L14-T4,leaf,L,P_14,T4,,Talon,495,46.66,10,36.66,P2-D11,P2,D,11
L15-T4,leaf,L,P_15,T4,,Talon,505,49.54,10,39.54,P2-A11,P2,A,11
L16-T4,leaf,L,P_16,T4,,Talon,495,44.03,10,34.03,P2-H11,P2,H,11
L17-T4,leaf,L,P_17,T4,,Talon,492,40.75,10,30.75,P2-C1,P2,C,1
L18-T4,leaf,L,P_18,T4,,Talon,505,44.79,10,34.79,P2-E5,P2,E,5
L19-T4,leaf,L,P_19,T4,,Talon,505,44.08,10,34.08,P1-D3,P1,D,3
L20-T4,leaf,L,P_20,T4,,Talon,495,38.69,10,28.69,P3-C6,P3,C,6
L21-T4,leaf,L,P_21,T4,,Talon,492,41.79,10,31.79,P2-H6,P2,H,6
L22-T4,leaf,L,P_22,T4,,Talon,495,48.09,10,38.09,P1-E9,P1,E,9
L23-T4,leaf,L,P_23,T4,,Talon,505,42.11,10,32.11,P1-G10,P1,G,10
L24-T4,leaf,L,P_24,T4,,Talon,492,43.76,10,33.76,P1-F9,P1,F,9
H01-T5-HI,head,H,P_01,T5,Hi,Allen,495,10.33,10,0.33,P1-H1,P1,H,1
H02-T5-HI,head,H,P_02,T5,Hi,Allen,492,33.35,10,23.35,P2-E9,P2,E,9
H03-T5-HI,head,H,P_03,T5,Hi,Allen,505,8.52,As Is,0,P2-G4,P2,G,4
H04-T5-HI,head,H,P_04,T5,Hi,Allen,492,6.84,As Is,0,P2-H1,P2,H,1
H05-T5-HI,head,H,P_05,T5,Hi,Allen,495,11.35,10,1.35,P2-B1,P2,B,1
H06-T5-HI,head,H,P_06,T5,Hi,Allen,505,8.22,As Is,0,P3-B5,P3,B,5
H07-T5-HI,head,H,P_07,T5,Hi,Allen,505,7.59,As Is,0,P1-B12,P1,B,12
H08-T5-HI,head,H,P_08,T5,Hi,Allen,492,8.33,As Is,0,P3-A7,P3,A,7
H09-T5-HI,head,H,P_09,T5,Hi,Allen,495,11.49,10,1.49,P2-A10,P2,A,10
H10-T5-HI,head,H,P_10,T5,Hi,Allen,495,14.15,10,4.15,P3-H1,P3,H,1
H11-T5-HI,head,H,P_11,T5,Hi,Allen,505,8.12,As Is,0,P3-D1,P3,D,1
H12-T5-HI,head,H,P_12,T5,Hi,Allen,492,20.96,10,10.96,P1-B9,P1,B,9
H13-T5-HI,head,H,P_13,T5,Hi,Talon,492,21.49,10,11.49,P1-A2,P1,A,2
H14-T5-HI,head,H,P_14,T5,Hi,Talon,495,19.64,10,9.64,P2-F4,P2,F,4
H15-T5-HI,head,H,P_15,T5,Hi,Talon,505,20.58,10,10.58,P1-D10,P1,D,10
H16-T5-HI,head,H,P_16,T5,Hi,Talon,495,18.82,10,8.82,P2-D1,P2,D,1
H17-T5-HI,head,H,P_17,T5,Hi,Talon,492,23.06,10,13.06,P3-E1,P3,E,1
H18-T5-HI,head,H,P_18,T5,Hi,Talon,505,11.18,10,1.18,P2-H3,P2,H,3
H19-T5-HI,head,H,P_19,T5,Hi,Talon,505,9.29,As Is,0,P2-B10,P2,B,10
H20-T5-HI,head,H,P_20,T5,Hi,Talon,495,9.3,As Is,0,P2-D5,P2,D,5
H21-T5-HI,head,H,P_21,T5,Hi,Talon,492,20.25,10,10.25,P1-E8,P1,E,8
H22-T5-HI,head,H,P_22,T5,Hi,Talon,495,15.77,10,5.77,P1-A3,P1,A,3
H23-T5-HI,head,H,P_23,T5,Hi,Talon,505,13.99,10,3.99,P1-C1,P1,C,1
H24-T5-HI,head,H,P_24,T5,Hi,Talon,492,21.24,10,11.24,P1-D6,P1,D,6
H01-T5-LO,head,H,P_01,T5,Lo,Allen,495,16.12,10,6.12,P3-D3,P3,D,3
H02-T5-LO,head,H,P_02,T5,Lo,Allen,492,11.01,10,1.01,P1-H8,P1,H,8
H03-T5-LO,head,H,P_03,T5,Lo,Allen,505,13.23,10,3.23,P1-B4,P1,B,4
H04-T5-LO,head,H,P_04,T5,Lo,Allen,492,8.7,As Is,0,P3-A2,P3,A,2
H05-T5-LO,head,H,P_05,T5,Lo,Allen,495,6.35,As Is,0,P1-C3,P1,C,3
H06-T5-LO,head,H,P_06,T5,Lo,Allen,505,13.83,10,3.83,P2-E4,P2,E,4
H07-T5-LO,head,H,P_07,T5,Lo,Allen,505,12.78,10,2.78,P1-G2,P1,G,2
H08-T5-LO,head,H,P_08,T5,Lo,Allen,492,8.76,As Is,0,P3-C4,P3,C,4
H09-T5-LO,head,H,P_09,T5,Lo,Allen,495,9.95,As Is,0,P1-D1,P1,D,1
H10-T5-LO,head,H,P_10,T5,Lo,Allen,495,11.12,10,1.12,P3-H5,P3,H,5
H11-T5-LO,head,H,P_11,T5,Lo,Allen,505,8.8,As Is,0,P1-H4,P1,H,4
H12-T5-LO,head,H,P_12,T5,Lo,Allen,492,15.46,10,5.46,P2-E6,P2,E,6
H13-T5-LO,head,H,P_13,T5,Lo,Talon,492,23.87,10,13.87,P1-A11,P1,A,11
H14-T5-LO,head,H,P_14,T5,Lo,Talon,495,21.88,10,11.88,P2-C4,P2,C,4
H15-T5-LO,head,H,P_15,T5,Lo,Talon,505,17.92,10,7.92,P2-B12,P2,B,12
H16-T5-LO,head,H,P_16,T5,Lo,Talon,495,25,10,15,P3-G1,P3,G,1
H17-T5-LO,head,H,P_17,T5,Lo,Talon,492,16.04,10,6.04,P1-H12,P1,H,12
H18-T5-LO,head,H,P_18,T5,Lo,Talon,505,18.78,10,8.78,P3-F3,P3,F,3
H19-T5-LO,head,H,P_19,T5,Lo,Talon,505,21.26,10,11.26,P1-D8,P1,D,8
H20-T5-LO,head,H,P_20,T5,Lo,Talon,495,27.4,10,17.4,P3-D4,P3,D,4
H21-T5-LO,head,H,P_21,T5,Lo,Talon,492,26.32,10,16.32,P1-E4,P1,E,4
H22-T5-LO,head,H,P_22,T5,Lo,Talon,495,27.33,10,17.33,P1-B2,P1,B,2
H23-T5-LO,head,H,P_23,T5,Lo,Talon,505,22.35,10,12.35,P2-G12,P2,G,12
H24-T5-LO,head,H,P_24,T5,Lo,Talon,492,20.57,10,10.57,P2-F3,P2,F,3
