,plotID,ID,timeDisSite,typeSample,typeCode,timeSample,DiseaseStatus,variety.x,site,block,lat,long,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,FgTa.Mean,DON.Mean.R1,fungiDepth,Sdiv
69,6,H06-T3,T3_Urbana,head,H,T3,,505,Urbana,2,40.0807,-88.2242,14.8,53.8,89.66943726,0.206,0.926120698,10095,86
70,6,H06-T4,T4_Urbana,head,H,T4,,505,Urbana,2,40.0807,-88.2242,14.8,53.8,89.66943726,0.206,0.926120698,25610,85
71,6,H06-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,505,Urbana,2,40.0807,-88.2242,14.8,53.8,89.66943726,0.206,0.926120698,129843,139
72,6,H06-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,505,Urbana,2,40.0807,-88.2242,14.8,53.8,89.66943726,0.206,0.926120698,64358,131
73,7,H07-T3,T3_Urbana,head,H,T3,,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,6788,48
74,7,H07-T4,T4_Urbana,head,H,T4,,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,6457,44
75,7,H07-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,78488,97
76,7,H07-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,4848,40
77,8,H08-T3,T3_Urbana,head,H,T3,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,14302,103
78,8,H08-T4,T4_Urbana,head,H,T4,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,73686,123
79,8,H08-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,31397,58
80,8,H08-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,292392,172
81,9,H09-T3,T3_Urbana,head,H,T3,,495,Urbana,3,40.080467,-88.224217,14.6,53.6,91.02877439,0.343,1.839521442,36883,141
82,9,H09-T4,T4_Urbana,head,H,T4,,495,Urbana,3,40.080467,-88.224217,14.6,53.6,91.02877439,0.343,1.839521442,45981,105
83,9,H09-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,495,Urbana,3,40.080467,-88.224217,14.6,53.6,91.02877439,0.343,1.839521442,46302,71
84,9,H09-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,495,Urbana,3,40.080467,-88.224217,14.6,53.6,91.02877439,0.343,1.839521442,8481,51
85,10,H10-T3,T3_Urbana,head,H,T3,,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,33381,124
86,10,H10-T4,T4_Urbana,head,H,T4,,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,106052,115
87,10,H10-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,34635,64
88,10,H10-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,326495,205
89,11,H11-T3,T3_Urbana,head,H,T3,,505,Urbana,4,40.0803,-88.224217,14.4,53.3,89.32538216,0.2,0.553794775,7676,72
90,11,H11-T4,T4_Urbana,head,H,T4,,505,Urbana,4,40.0803,-88.224217,14.4,53.3,89.32538216,0.2,0.553794775,10409,77
91,11,H11-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,505,Urbana,4,40.0803,-88.224217,14.4,53.3,89.32538216,0.2,0.553794775,103929,101
92,11,H11-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,505,Urbana,4,40.0803,-88.224217,14.4,53.3,89.32538216,0.2,0.553794775,13724,53
93,12,H12-T3,T3_Urbana,head,H,T3,,492,Urbana,4,40.080217,-88.224217,16.1,54.5,86.44245854,0.306,0.989690041,9212,95
94,12,H12-T4,T4_Urbana,head,H,T4,,492,Urbana,4,40.080217,-88.224217,16.1,54.5,86.44245854,0.306,0.989690041,28018,86
95,12,H12-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,492,Urbana,4,40.080217,-88.224217,16.1,54.5,86.44245854,0.306,0.989690041,44858,78
96,12,H12-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,492,Urbana,4,40.080217,-88.224217,16.1,54.5,86.44245854,0.306,0.989690041,87016,123
97,13,H13-T3,T3_Ewing,head,H,T3,,492,Ewing,1,38.096467,-88.8457,13.6,56.7,70.84903329,0.665,3.722755801,7925,109
98,13,H13-T4,T4_Ewing,head,H,T4,,492,Ewing,1,38.096467,-88.8457,13.6,56.7,70.84903329,0.665,3.722755801,8802,72
99,13,H13-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,492,Ewing,1,38.096467,-88.8457,13.6,56.7,70.84903329,0.665,3.722755801,66890,125
100,13,H13-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,492,Ewing,1,38.096467,-88.8457,13.6,56.7,70.84903329,0.665,3.722755801,26659,89
