"","Feature.ID","Confidence","domain","phylum","class","order","family","genus","species","SH"
"1708","ASV275",0.753149316514766,"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Apiosporaceae","Nigrospora","Nigrospora_guangdongensis","SH1391054.10FU"
"1709","ASV2750",0.996491154840224,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,NA
"1710","ASV2751",0.92121821215166,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",NA,NA
"1711","ASV2752",0.707034251820949,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Calloriaceae","Calloria","Calloria_sp","SH1383864.10FU"
"1712","ASV2753",0.905852835896828,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis","Didymocyrtis_septata","SH1311153.10FU"
"1713","ASV2754",0.815346783661967,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus","Plenodomus_changchunensis","SH1389819.10FU"
"1714","ASV2755",0.998668637446687,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraophiobolus","Paraophiobolus_arundinis","SH1409170.10FU"
"1715","ASV2756",0.875127527279118,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiaceae_gen_Incertae_sedis","Sporormiaceae_sp","SH1340916.10FU"
"1716","ASV2757",0.968170920557129,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp","SH1408993.10FU"
"1717","ASV2758",0.999916754838518,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella","Hirsutella_thompsonii","SH1287339.10FU"
"1718","ASV2759",0.965190798139829,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis","Radulidium","Radulidium_sp","SH1169753.10FU"
"1719","ASV276",0.999999793286655,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis","Didymocyrtis_pini","SH1311120.10FU"
"1720","ASV2760",0.964871319887232,"Fungi","Ascomycota","Dothideomycetes","Hysteriales","Hysteriaceae","Rhytidhysteron","Rhytidhysteron_rufulum","SH1276022.10FU"
"1721","ASV2761",0.992063470737527,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus",NA,NA
"1722","ASV2762",0.883486314614542,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae",NA,NA,NA
"1723","ASV2763",0.738013559846513,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Neodevriesiaceae","Neodevriesia",NA,NA
"1724","ASV2764",0.763807789832574,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Macrodiplodiopsidaceae",NA,NA,NA
"1725","ASV2765",0.999988139860352,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","Urnula","Urnula_craterium","SH1354929.10FU"
"1726","ASV2766",0.955639257125782,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentitheciaceae_gen_Incertae_sedis","Lentitheciaceae_sp","SH1344549.10FU"
"1727","ASV2767",0.997862899404735,"Fungi","Ascomycota",NA,NA,NA,NA,NA,NA
"1728","ASV2768",0.771841587651794,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_tsudae","SH1206740.10FU"
"1729","ASV2769",0.999734856196954,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Colletogloeum","Colletogloeum_sp","SH1306023.10FU"
"1730","ASV277",0.999994481703445,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae","Trichopeziza","Trichopeziza_mollissima","SH1221650.10FU"
"1731","ASV2770",0.751702750178552,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetidae_ord_Incertae_sedis","Pseudoperisporiaceae","Eudimeriolum","Eudimeriolum_septentrionale","SH1922740.10FU"
"1732","ASV2771",0.999999999999005,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Retiarius","Retiarius_bovicornutus","SH1272312.10FU"
"1733","ASV2772",0.892947298435868,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideales_fam_Incertae_sedis",NA,NA,NA
"1734","ASV2773",0.787066642445731,"Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Physcia","Physcia_sp",NA
"1735","ASV2774",0.786214234141538,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiales_fam_Incertae_sedis","Corticiales_gen_Incertae_sedis","Corticiales_sp",NA
"1736","ASV2775",0.931905943411924,"Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Physcia","Physcia_stellaris","SH1218696.10FU"
