Feature ID	Taxon	Confidence
ASV72	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium;s__Aureobasidium_pullulans;sh__SH1290132.10FU	0.9859124795994678
ASV73	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora;s__Leptospora_sp;sh__SH1338567.10FU	0.9998845047378063
ASV74	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae;sh__SH1303804.10FU	0.9999543092222722
ASV75	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9969828097797239
ASV76	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeriaceae_gen_Incertae_sedis;s__Phaeosphaeriaceae_sp;sh__SH1061589.10FU	0.9992167614912133
ASV77	k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Pyxidiophorales;f__Pyxidiophoraceae;g__Pyxidiophora	0.999995775770144
ASV78	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_tephrensis;sh__SH1303771.10FU	0.800154850919783
ASV79	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Hymenula;s__Hymenula_cerealis;sh__SH1287948.10FU	0.8836128832432815
ASV80	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_fam_Incertae_sedis;g__Auriculariales_gen_Incertae_sedis;s__Auriculariales_sp;sh__SH1346087.10FU	0.8755683764743595
ASV81	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae;sh__SH1207622.10FU	0.9998293020123723
ASV82	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.9946546057026445
ASV83	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	0.7518417010425257
ASV84	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella;s__Ophiosphaerella_agrostidis;sh__SH1859992.10FU	0.994349460909957
ASV85	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.952418900432588
ASV86	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.9969967363891714
ASV87	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae;sh__SH1303804.10FU	0.9990927693011232
ASV88	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremaceae;g__Papiliotrema;s__Papiliotrema_frias;sh__SH1402560.10FU	0.9997562344957381
ASV89	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Sarocladiaceae;g__Sarocladium;s__Sarocladium_zeae;sh__SH1083619.10FU	0.9962474773322528
ASV90	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.9796868117383564
ASV91	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_hungarica;sh__SH1051489.10FU	0.9998642912784588
ASV92	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Plenodomus;s__Plenodomus_sp;sh__SH1331791.10FU	0.9173919010115321
ASV93	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_coprosmae;sh__SH1847644.10FU	0.9738036193663328
ASV94	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_ruberrimus;sh__SH1273286.10FU	0.9701788671344932
ASV95	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_sporotrichioides;sh__SH1049473.10FU	0.7302318056629521
ASV96	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_patagonicus;sh__SH1273307.10FU	0.7916172946781145
ASV97	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_globispora;sh__SH1202277.10FU	0.9747187572654153
ASV98	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9334310184763746
ASV99	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__Entylomataceae;g__Tilletiopsis;s__Tilletiopsis_washingtonensis;sh__SH1241581.10FU	0.9998987331198553
ASV100	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Cercospora	0.7892764620341719
ASV101	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_tephrensis;sh__SH1303771.10FU	0.796781488239333
ASV102	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH1338547.10FU	0.9989201623557097
ASV103	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	0.7838189379507199
ASV104	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium;s__Aureobasidium_pullulans;sh__SH1290132.10FU	0.890800693190806
ASV105	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_oeirense;sh__SH1665267.10FU	0.9999888421507905
ASV106	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremaceae;g__Papiliotrema;s__Papiliotrema_aurea;sh__SH1941047.10FU	0.9068017707580853
ASV107	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae;sh__SH1135727.10FU	0.9976426807497296
ASV108	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Ophiognomonia	0.9507740138662143
ASV109	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_symmetrica;sh__SH1337841.10FU	0.9962290658478172
ASV110	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_poae;sh__SH1049504.10FU	0.7517179101139951
ASV111	k__Fungi;p__Ascomycota	0.9999996561807512
ASV112	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Ophiognomonia;s__Ophiognomonia_asiatica;sh__SH1212331.10FU	0.7090535051773568
ASV113	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__Neosetophoma_rosigena;sh__SH1409261.10FU	0.7024122089879609
ASV114	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Pezizellaceae;g__Chalara;s__Chalara_sp;sh__SH1318005.10FU	0.9999410869478834
ASV115	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae	0.9999999999673872
ASV116	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum;sh__SH1335104.10FU	0.9961853200124755
ASV117	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Meyerozyma;s__Meyerozyma_smithsonii;sh__SH1242718.10FU	0.7149438585897453
ASV118	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Parastagonospora;s__Parastagonospora_nodorum;sh__SH1408941.10FU	0.9609194371585583
ASV119	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_hungarica;sh__SH1051489.10FU	0.9999605811310712
ASV120	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__Neosetophoma_guiyangensis;sh__SH1409290.10FU	0.7195991746511188
ASV121	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans;sh__SH1076932.10FU	0.9999999999999859
